FULLNAME;TICKER
KRAKCHEM.xlsx;kch_y.xlsx
KREZUS.xlsx;kzs_y.xlsx
KRKA.xlsx;krk_y.xlsx
KRUKSA.xlsx;kru_y.xlsx
KRUSZWIC.xlsx;ksw_y.xlsx
KRVITAMI.xlsx;kvt_y.xlsx
KRYNICKI.xlsx;krc_y.xlsx
KSGAGRO.xlsx;ksg_y.xlsx
KUPIEC.xlsx;kpc_y.xlsx
LABOPRIN.xlsx;lab_y.xlsx
LANGLOO.xlsx;lan_y.xlsx
LARQ.xlsx;lrq_y.xlsx
LASERMED.xlsx;lsr_y.xlsx
LAURENP.xlsx;lps_y.xlsx
LCCORP.xlsx;lcc_y.xlsx
LENA.xlsx;len_y.xlsx
LENTEX.xlsx;ltx_y.xlsx
LEONIDAS.xlsx;leo_y.xlsx
LETUS.xlsx;let_y.xlsx
LIBERTYG.xlsx;ltg_y.xlsx
LIBET.xlsx;lbt_y.xlsx
LIVECHAT.xlsx;lvc_y.xlsx
LKDESIGN.xlsx;lks_y.xlsx
LOGINTRA.xlsx;lgt_y.xlsx
LOGZACT.xlsx;lgz_y.xlsx
LOKABUDO.xlsx;lbd_y.xlsx
LOKUM.xlsx;lkd_y.xlsx
LOTOS.xlsx;lts_y.xlsx
LOYD.xlsx;lyd_y.xlsx
LPP.xlsx;lpp_y.xlsx
LSISOFT.xlsx;lsi_y.xlsx
LSTECH.xlsx;lsh_y.xlsx
LUBAWA.xlsx;lbw_y.xlsx
LUG.xlsx;_y.xlsx
LUXIMA.xlsx;lux_y.xlsx
LZMO.xlsx;lzm_y.xlsx
LZPS.xlsx;prt_y.xlsx
M4B.xlsx;m4b_y.xlsx
MABION.xlsx;mab_y.xlsx
MACROGAM.xlsx;mgs_y.xlsx
MACROSFT.xlsx;mcl_y.xlsx
MADKOM.xlsx;mad_y.xlsx
MAGELLAN.xlsx;mag_y.xlsx
MAGNA.xlsx;06n_y.xlsx
MAGNIFIC.xlsx;mgf_y.xlsx
MAKARONY.xlsx;mak_y.xlsx
MAKOLAB.xlsx;mlb_y.xlsx
MAKORA.xlsx;mra_y.xlsx
MALMAR.xlsx;mma_y.xlsx
MARKA.xlsx;mrk_y.xlsx
MARSOFT.xlsx;mar_y.xlsx
MARVIPOL.xlsx;mvp_y.xlsx
MASTERFA.xlsx;_y.xlsx
MAXIMUS.xlsx;max_y.xlsx
MAXIPIZZ.xlsx;mxp_y.xlsx
MBANK.xlsx;mbk_y.xlsx
MBFGROUP.xlsx;mbf_y.xlsx
MBWS.xlsx;mbw_y.xlsx
MCI.xlsx;mci_y.xlsx
MDEVELOP.xlsx;mfd_y.xlsx
MDIENERG.xlsx;mdi_y.xlsx
MEDGALIC.xlsx;mgl_ipo_y.xlsx
MEDIACAP.xlsx;mcp_y.xlsx
MEDIAN.xlsx;mdn_y.xlsx
MEDIATEL.xlsx;mtl_y.xlsx
MEDICALG.xlsx;mdg_y.xlsx
MEDICAPF.xlsx;med_y.xlsx
MEDIUS.xlsx;kme_y.xlsx
MEGAR.xlsx;meg_y.xlsx
MENNICA.xlsx;mnc_y.xlsx
MENNICAS.xlsx;mns_y.xlsx
MERA.xlsx;mer_y.xlsx
MERCATOR.xlsx;mrc_y.xlsx
MERCOR.xlsx;mcr_y.xlsx
MERIT.xlsx;mei_y.xlsx
METROPOL.xlsx;mrs_y.xlsx
MEXPOL.xlsx;mex_y.xlsx
MFOSA.xlsx;mfo_y.xlsx
MGMSYST.xlsx;mgm_y.xlsx
MIDAS.xlsx;mds_y.xlsx
MIDVEN.xlsx;mid_y.xlsx
MILESTON.xlsx;mmd_y.xlsx
MILKI.xlsx;mlk_y.xlsx
MILKPOL.xlsx;mlp_y.xlsx
MINERAL.xlsx;mnd_y.xlsx
MINOX.xlsx;mnx_y.xlsx
